book_id,description
463,"From the author of Outlander... a magnificent epic that once again sweeps us back in time to the drama and passion of 18th-century Scotland...For twenty years Claire Randall has kept her secrets.  But now she is returning with her grown daughter to Scotland's majestic mist-shrouded hills.  Here Claire plans to reveal a truth as stunning as the events that gave it birth: about the mystery of an ancient circle of standing stones...about a love that transcends the boundaries of time...and about James Fraser, a Scottish warrior whose gallantry once drew a young Claire from the security of her century to the dangers of his ....Now a legacy of blood and desire will test her beautiful copper-haired daughter, Brianna, as Claire's spellbinding journey of self-discovery continues in the intrigue-ridden Paris court of Charles Stuart ...in a race to thwart a doomed Highlands uprising...and in a desperate fight to save both the child and the man she loves....From the Hardcover edition."
464,
465,
466,
467,
468,Their Eyes Were Watching God (1937) is a classic Harlem Renaissance novel by American writer Zora Neale Hurston. The novel follows Janie Crawford as she recounts the story of her life as she journeys from a naive teenager to a woman in control of her destiny.
469,"The book 'Fantastic Beasts and Where to Find' is a copy of Harry Potter's textbook that was written by Newt Scamander, a magizoologist and fictional character from Series. The book has the same name as previously mentioned in the first novel of Harry Potter series, Harry Potter and the Sorcerer's Stone."
470,
471,"Fanny Price is born to a poor family, but is sent to her mother's rich relations to be brought up with her cousins. There she is treated as an inferior by all except her cousin Edmund, whose kindness towards her earns him her steadfast love. Fanny is quiet and obedient and does not come into her own until her elder cousins leave the estate following a scandalous play put on in their father's absence. Fanny's loyalty and love is tested by the beautiful Crawford siblings. But their essentially weak natures and morals show them for what they really are, and allow Fanny to gain the one thing she truly desires."
472,
474,"Publication Date: January 16, 2008
A preeminent scientist—and the world's most prominent atheist—asserts the irrationality of belief in God and the grievous harm religion has inflicted on society, from the Crusades to 9/11.

With rigor and wit, Dawkins examines God in all his forms, from the sex-obsessed tyrant of the Old Testament to the more benign (but still illogical) Celestial Watchmaker favored by some Enlightenment thinkers. He eviscerates the major arguments for religion and demonstrates the supreme improbability of a supreme being. He shows how religion fuels war, foments bigotry, and abuses children, buttressing his points with historical and contemporary evidence. _The God Delusion_ makes a compelling case that belief in God is not just wrong but potentially deadly. It also offers exhilarating insight into the advantages of atheism to the individual and society, not the least of which is a clearer, truer appreciation of the universe's wonders than any faith could ever muster."
475,"It's been three years since the devastating accident . . . three years since Mia walked out of Adam's life forever.
Now living on opposite coasts, Mia is Juilliard's rising star and Adam is LA tabloid fodder, thanks to his new rock star status and celebrity girlfriend. When Adam gets stuck in New York by himself, chance brings the couple together again, for one last night. As they explore the city that has become Mia's home, Adam and Mia revisit the past and open their hearts to the future - and each other.

Told from Adam's point of view in the spare, lyrical prose that defined If I Stay, Where She Went explores the devastation of grief, the promise of new hope, and the flame of rekindled romance."
476,
477,
478,"During one of his several adventurous voyages in the 1600's, an Englishman becomes the sole survivor of a shipwreck and lives for nearly thirty years on a deserted island."
479,"The Prince (Italian: Il Principe [il ˈprintʃipe]; Latin: De Principatibus) is a 16th-century political treatise written by Italian diplomat and political theorist Niccolò Machiavelli as an instruction guide for new princes and royals. The general theme of The Prince is of accepting that the aims of princes – such as glory and survival – can justify the use of immoral means to achieve those ends.

From Machiavelli's correspondence, a version appears to have been distributed in 1513, using a Latin title, De Principatibus (Of Principalities). However, the printed version was not published until 1532, five years after Machiavelli's death. This was carried out with the permission of the Medici pope Clement VII, but ""long before then, in fact since the first appearance of The Prince in manuscript, controversy had swirled about his writings"".

Although The Prince was written as if it were a traditional work in the mirrors for princes style, it was generally agreed as being especially innovative. This is partly because it was written in the vernacular Italian rather than Latin, a practice that had become increasingly popular since the publication of Dante's Divine Comedy and other works of Renaissance literature."
480,"In the astonishing finale to the His Dark Materials trilogy, Lyra and Will are in unspeakable danger. With help from Iorek Byrnison the armored bear and two tiny Gallivespian spies, they must journey to a dank and gray-lit world where no living soul has ever gone. All the while, Dr. Mary Malone builds a magnificent Amber Spyglass. An assassin hunts her down, and Lord Asriel, with a troop of shining angels, fights his mighty rebellion, in a battle of strange allies—and shocking sacrifice.

As war rages and Dust drains from the sky, the fate of the living—and the dead—finally comes to depend on two children and the simple truth of one simple story."
481,"Richard Cypher's father was brutally murdered a month ago, in his home with his guts ripped out of his stomach.  While coping with this sudden loss, Richard saves Kahlan Amnell from four mercenaries, and with the help of Richard's grandfather the three flee to the midlands to stop Darken Rahl's ever expanding empire.  Secrets will be revealed, many will perish, and the legends begins."
482,"""Oprhaned aboard a ship from Ireland, seven-year-old Lavinia arrives on the steps of a tobacco plantation where she is to live and worth with the slaves of the kitchen house. Under the care of Belle, the master's illegitimate daughter, Lavinia becomes deeply bonded to her adopted family, though she is set apart from the by her white skin. Eventually accepted into the world of the big house, where the master is absent and the mistress battles opium addiction, Lavinia straddles two very different world. Then she is forced to make a choice""--P. [4] of cover."
483,"Meet Franny and her younger brother, Zooey, in two Salinger stories."
484,"Victor Mancini, a medical-school dropout, is an antihero for our deranged times. Needing to pay elder care for his mother, Victor has devised an ingenious scam: he pretends to choke on pieces of food while dining in upscale restaurants. He then allows himself to be ""saved"" by fellow patrons who, feeling responsible for Victor's life, go on to send checks to support him. When he's not pulling this stunt, Victor cruises sexual addiction recovery workshops for action, visits his addled mom, and spends his days working at a colonial theme park. His creator, Chuck Palahniuk, is the visionary we need and the satirist we deserve.From the Trade Paperback edition."
485,
486,"A modern-day classic. This highly acclaimed adventure series about two friends desperate to save their doomed city has captivated kids and teachers alike for almost fifteen years and has sold over 3.5 MILLION copies!
 
The city of Ember was built as a last refuge for the human race. Two hundred years later, the great lamps that light the city are beginning to flicker. When Lina finds part of an ancient message, she’s sure it holds a secret that will save the city. She and her friend Doon must race to figure out the clues before the lights go out on Ember forever!"
488,"The Green Mile is a 1996 serial novel by American writer Stephen King. It tells the story of death row supervisor Paul Edgecombe's encounter with John Coffey, an unusual inmate who displays inexplicable healing and empathetic abilities. The serial novel was originally released in six volumes before being republished as a single-volume work. The book is an example of magical realism.

The Green Mile won the Bram Stoker Award for Best Novel in 1996. In 1997, The Green Mile was nominated as Best Novel for the British Fantasy Award and the Locus Award. In 2003 the book was listed on the BBC's The Big Read poll of the UK's ""best-loved novel"".


----------
Contains:

 1. [The Two Dead Girls](https://openlibrary.org/works/OL149165W/The_Two_Dead_Girls)
 2. [The Mouse on the Mile](https://openlibrary.org/works/OL149147W/The_Mouse_on_the_Mile)
 3. [Coffey's Hands](https://openlibrary.org/works/OL149107W/Coffey's_Hands)
 4. [The Bad Death of Eduard Delacroix](https://openlibrary.org/works/OL15861106W/The_Bad_Death_of_Eduard_Delacroix)
 5. [Night Journey](https://openlibrary.org/works/OL16252000W/Night_Journey)
 6. [Coffey on the Mile](https://openlibrary.org/works/OL15136222W/Coffey_on_the_Mile)"
489,"The Prophet is a book of 26 poetic essays written in English in 1923 by the Lebanese-American artist, philosopher and writer Khalil Gibran. In the book, the prophet Almustafa who has lived in the foreign city of Orphalese for 12 years is about to board a ship which will carry him home. He is stopped by a group of people, with whom he discusses many issues of life and the human condition. The book is divided into chapters dealing with love, marriage, children, giving, eating and drinking, work, joy and sorrow, houses, clothes, buying and selling, crime and punishment, laws, freedom, reason and passion, pain, self-knowledge, teaching, friendship, talking, time, good and evil, prayer, pleasure, beauty, religion, and death."
490,
491,
492,"Ender Wiggin, the young military genius, discovers that a second alien war is inevitable and that he must dismiss his fears to make peace with humanity's strange new brothers."
493,"First broadcast as informal radio ""talks"" and later published as three separate books, The Case for Christianity, Christian Behaviour, and Beyond Personality are presented together in Mere Christianity. In his remarkably direct and accessible style, the renowned Christian apologist shows how the power of Christianity manifests itself -- not in any single denomination but as ""mere"" Christianity, a total force. For Lewis sets out to prove only that ""in the center of each there is something, or a Someone, who against all divergencies of belief, all differences of temperament, all memories of mutual persecution, speaks with the same voice."" - Back cover."
494,"Under the influence of their charismatic classics professor, a group of clever, eccentric misfits at an elite New England college discover a way of thinking and living that is a world away from the humdrum existence of their contemporaries. But when they go beyond the boundaries of normal morality they slip gradually from obsession to corruption and betrayal, and at last - inexorably - into evil."
495,"From Wikipedia: A Heartbreaking Work of Staggering Genius (ISBN 0-330-48455-9) is a memoir by Dave Eggers released in 2000. It chronicles his stewardship of younger brother Christopher ""Toph"" Eggers following the cancer-related deaths of his parents.

The book was an enormous commercial and critical success, reaching number one on The New York Times bestseller list and being nominated as a finalist for the Pulitzer Prize for General Non-Fiction. Time magazine and several newspapers dubbed it ""The Best Book of the Year"". Critics praised the book for its wild, vibrant prose, and it was described as ""big, daring [and] manic-depressive"" by The New York Times. The book was chosen as the 12th best book of the decade by The Times"
496,"The Clan of the Cave Bear is a 1980 novel and epic work of prehistoric fiction by Jean M. Auel about prehistoric times. It is the first book in the Earth's Children book series, which speculates on the possibilities of interactions between Neanderthal and modern Cro-Magnon humans.


----------
Also contained in:
[Earth's Children](https://openlibrary.org/works/OL2746374W)"
497,"(Ages 9-12, Gr. 4-7) An **animal rights classic** that's also an engaging read, **BLACK BEAUTY follows the life of an ebony horse from birth to old age**, and from pasture to the cobblestone streets of **19th century England** This morality tale and **animal ""autobiography""** gives a sweet and kind horse **a voice that's relatable yet unsentimental.**. Black Beauty's life begins on the grounds of an aristocratic English family. The **young horse learns early lessons from his mother like how not to bite or kick even in play** before circumstances force his sale to a new master; it's the first of several such sales/moves for the horse. As **his life intersects with different human owners, caretakers, and neighbors**, Black Beauty **experiences different kinds of care and abuse**, and he observes the **differing attitudes of humans toward horses.** Peppered throughout the novel are the **moral lessons** that the author, **Anna Sewell **who is the author**, wants to impart to her readers:** that **truly good humans are kind to all of God's creatures,** that **parents should teach their children to be kind to animals,** and perhaps most important, that **even though they can't speak, horses can feel so that makes this fiction/fake.** Anna Sewell was a devout Quaker, and that is apparent in her pacifist point of view, and in the book's **emphasis on the value of hard work without complaint.**


**strong text** author: a person who wrote the book"
498,"War and Peace delineates in graphic detail events surrounding the French invasion of Russia, and the impact of the Napoleonic era on Tsarist society, as seen through the eyes of five Russian aristocratic families.
The novel begins in the year 1805 during the reign of Tsar Alexander I and leads up to the 1812 French invasion of Russia by Napoleon. The era of Catherine the Great (1762–1796), when the royal court in Paris was the centre of western European civilization,[16] is still fresh in the minds of older people. Catherine, fluent in French and wishing to reshape Russia into a great European nation, made French the language of her royal court. For the next one hundred years, it became a social requirement for members of the Russian nobility to speak French and understand French culture.[16] This historical and cultural context in the aristocracy is reflected in War and Peace. Catherine's grandson, Alexander I, came to the throne in 1801 at the age of 24. In the novel, his mother, Marya Feodorovna, is the most powerful woman in the Russian court.

War and Peace tells the story of five aristocratic families — the Bezukhovs, the Bolkonskys, the Rostovs, the Kuragins and the Drubetskoys—and the entanglements of their personal lives with the history of 1805–1813, principally Napoleon's invasion of Russia in 1812. The Bezukhovs, while very rich, are a fragmented family as the old Count, Kirill Vladimirovich, has fathered dozens of illegitimate sons. The Bolkonskys are an old established and wealthy family based at Bald Hills. Old Prince Bolkonsky, Nikolai Andreevich, served as a general under Catherine the Great, in earlier wars. The Moscow Rostovs have many estates, but never enough cash. They are a closely knit, loving family who live for the moment regardless of their financial situation. The Kuragin family has three children, who are all of questionable character. The Drubetskoy family is of impoverished nobility, and consists of an elderly mother and her only son, Boris, whom she wishes to push up the career ladder."
499,"American Psycho is a novel by Bret Easton Ellis, published in 1991. The story is told in the first person by Patrick Bateman, a serial killer and Manhattan investment banker. Alison Kelly of The Observer notes that while ""some countries [deem it] so potentially disturbing that it can only be sold shrink-wrapped"", ""critics rave about it"" and ""academics revel in its transgressive and postmodern qualities""."
500,"Mia Thermopolis is pretty sure there’s nothing worse than being a five-foot-nine, flat-chested freshman, who also happens to be flunking Algebra. Is she ever in for a surprise.

First Mom announces that she’s dating Mia’s Algebra teacher. Then Dad has to go and reveal that he is the crown prince of Genovia. And guess who still doesn’t have a date for the Cultural Diversity Dance?

*The Princess Diaries* is the first book in the beloved, bestselling series that inspired the feature film starring Anne Hathaway and Julie Andrews.

(**Note to parents:** The books have much more mature content than the movies.)"
501,"This first novel in Alexander McCall Smith's widely acclaimed The No. 1 Ladies Detective Agency series tells the story of the delightfully cunning and enormously engaging Precious Ramotswe, who is drawn to her profession to ""help people with problems in their lives.""  Immediately upon setting up shop in a small storefront in Gaborone, she is hired to track down a missing husband, uncover a con man, and follow a wayward daughter.  But the case that tugs at her heart, and lands her in danger, is a missing eleven-year-old boy, who may have been snatched by witchdoctors.The No. 1 Ladies' Detective Agency received two Booker Judges' Special Recommendations and was voted one of the International Books of the Year and the Millennium by the Times Literary Supplement.From the Trade Paperback edition."
502,
503,
504,"California’s gold country, 1850. A time when men sold their souls for a bag of gold and women sold their bodies for a place to sleep.  Angel expects nothing from men but betrayal. Sold into prostitution as a child, she survives by keeping her hatred alive. And what she hates most are the men who use her, leaving her empty and dead inside. Then she meets Michael Hosea. A man who seeks his Father’s heart in everything, Michael Hosea obeys God’s call to marry Angel and to love her unconditionally. Slowly, day by day, he defies Angel’s every bitter expectation until, despite her resistance her frozen heart begins to thaw. But with her unexpected softening come overwhelming feelings of unworthiness and fear. And so Angel runs. Back to the darkness, away from her husband’s pursuing love, terrified of the truth she can no longer deny: Her final healing must come from the One who loves her even more than Michael Hosea does…the One who will never let her go.  A life-changing story of God’s unconditional, redemptive, all-consuming love.
([source][1])


  [1]: http://francinerivers.com/books/redeeming-love/"
505,"Without any warning, passengers mysteriously disappear from their seats. Terror and chaos slowly spread not only through the plane but also worldwide as unusual events continue to unfold. For those who have been left behind, the apocalypse has just begun"
506,"THE SELECTION changed the lives of thirty-five girls forever. Now, only one will claim Prince Maxon’s heart…

It’s swoon meets the Hunger Games in the final instalment of THE SELECTION trilogy!

For the four girls who remain at the palace, the friendships they’ve formed, rivalries they’ve struggled with and dangers they’ve faced have bound them to each other for the rest of their lives.

Now, the time has come for one winner to be chosen.

America never dreamed she would find herself anywhere close to the crown – or to Prince Maxon’s heart. But as the competition approaches its end and the threats outside the palace walls grow more vicious, America realises just how much she stands to lose – and how hard she’ll have to fight for the future she wants.

The breathtaking finale to THE SELECTION trilogy will make you swoon!"
507,
508,
509,"With the same wicked humor and delicious charm that have won her millions of devoted fans, Sophie Kinsella, author of the #1 New York Times bestseller Shopaholic & Baby, returns with an irresistible new novel and a fresh new heroine who finds herself in a life-changing and utterly hilarious predicament....When twenty-eight-year-old Lexi Smart wakes up in a London hospital, she's in for a big surprise. Her teeth are perfect. Her body is toned. Her handbag is Vuitton. Having survived a car accident--in a Mercedes no less--Lexi has lost a big chunk of her memory, three years to be exact, and she's about to find out just how much things have changed. Somehow Lexi went from a twenty-five-year-old working girl to a corporate big shot with a sleek new loft, a personal assistant, a carb-free diet, and a set of glamorous new friends. And who is this gorgeous husband--who also happens to be a multimillionaire? With her mind still stuck three years in reverse, Lexi greets this brave new world determined to be the person she...well, seems to be. That is, until an adorably disheveled architect drops the biggest bombshell of all. Suddenly Lexi is scrambling to catch her balance. Her new life, it turns out, comes complete with secrets, schemes, and intrigue. How on earth did all this happen? Will she ever remember? And what will happen when she does?From the Hardcover edition."
510,"Now in development for TV!

Since its debut in 1990, The Wheel of Time® by Robert Jordan has captivated millions of readers around the globe with its scope, originality, and compelling characters.

The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow.

For centuries, gleemen have told the tales of The Great Hunt of the Horn. So many tales about each of th Hunters, and so many Hunters to tell of...Now the Horn itself is found: the Horn of Valere long thought only legend, the Horn which will raise the dead heroes of the ages. And it is stolen.

TV series update: ""Sony will produce along with Red Eagle Entertainment and Radar Pictures. Rafe Judkins is attached to write and executive produce. Judkins previously worked on shows such as ABC’s “Agents of SHIELD,” the Netflix series “Hemlock Grove,” and the NBC series “Chuck.” Red Eagle partners Rick Selvage and Larry Mondragon will executive produce along with Radar’s Ted Field and Mike Weber. Darren Lemke will also executive produce, with Jordan’s widow Harriet McDougal serving as consulting producer."" —*Variety*

The Wheel of Time**®**
New Spring: The Novel
#1 The Eye of the World
#2 The Great Hunt
#3 The Dragon Reborn
#4 The Shadow Rising
#5 The Fires of Heaven
#6 Lord of Chaos
#7 A Crown of Swords
#8 The Path of Daggers
#9 Winter's Heart
#10 Crossroads of Twilight
#11 Knife of Dreams

By Robert Jordan and Brandon Sanderson
#12 The Gathering Storm
#13 Towers of Midnight
#14 A Memory of Light"
511,"A killer is stalking the streets of Richmond, Virginia. When the bodies begin to mount, Chief Medical Examiner Kay Scarpetta is pulled into a chilling investigation that blends high-stakes forensics with psychological warfare. Armed with cutting-edge science and unflinching resolve, Scarpetta must navigate hostile forces both inside and outside the investigation—because someone isn’t just trying to hide the truth. They’re trying to kill her."
512,"73 stories:
The Unparalleled Adventure of One Hans Pfaall
The Gold-Bug
The Balloon-Hoax
[Von Kempelen and His Discovery](https://openlibrary.org/works/OL25111544W)
[Mesmeric Revelation](https://openlibrary.org/works/OL15646037W)
[Facts in the Case of M. Valdemar](https://openlibrary.org/works/OL40987W)
[Thousand-and-Second Tale of Scheherazade](https://openlibrary.org/works/OL15646039W)
MS. Found in a Bottle .
[Descent into the Maelstrom](https://openlibrary.org/works/OL273476W)
The Murders in the Rue Morgue .
The Mystery of Marie Roget
[Purloined Letter](https://openlibrary.org/works/OL41065W)
[Black Cat](https://openlibrary.org/works/OL41068W)
[Fall of the House of Usher](https://openlibrary.org/works/OL40987W)
[Pit and the Pendulum](https://openlibrary.org/works/OL273550W)
[Premature Burial](https://openlibrary.org/works/OL24583029W)
[Masque of the Red Death](https://openlibrary.org/works/OL41050W)
[Cask of Amontillado](https://openlibrary.org/works/OL41016W)
[Imp of the Perverse](https://openlibrary.org/works/OL15481077W)
[Island of the Fay](https://openlibrary.org/works/OL15645993W)
The Oval Portrait
[Assignation](https://openlibrary.org/works/OL15645797W)
[Tell-tale Heart](https://openlibrary.org/works/OL41059W)
The System of Doctor Tarr and Professor Fether
The Literary Life of Thingum Bob, Esq. .
How to Write a Blackwood Article
A Predicament
Mystification .
X-ing a Paragrab
Diddling
The Angel of the Odd
Mellonta Tauta .
Loss of Breath
The Man that Was Used Up
The Business Man .
Maelzel's Chess-Player .
The Power of Words
The Colloquy of Monos and Una . .
The Conversation of Eiros and Charmion .
Shadow—A Parable .
[Silence — A Fable](https://openlibrary.org/works/OL13370628W)
Philosophy Of Furniture
A Tale of Jerusalem
The Sphinx
The Man of the Crowd .
Never Bet the Devil Your Head
Thou Art the Man
Hop-Frog
Four Beasts in One; The Homo-Camelopard .
Why the Little Frenchman Wears His Hand in a Sling .
Bon-Bon .
Some Words with a Mummy
Review of Stephens' ""Arabia Petræa"" .
Magazine-Writing—Peter Snook
The Quacks of Helicon—A Satire .
Astoria
[Domain of Arnheim](https://openlibrary.org/works/OL15645889W)
[Landor's Cottage](https://openlibrary.org/works/OL15646005W)
[William Wilson](https://openlibrary.org/works/OL16088822W)
[Berenice](https://openlibrary.org/works/OL15645808W)
[Eleonora](https://openlibrary.org/works/OL14937980W)
Ligeia .
Morella
Metzengerstein
A Tale of the Ragged Mountains .
The Spectacles
Duc De L'Ome1ette
The Oblong Box .
King Pest
Three Sundays in a V.•eek
The Devil in the Belfry .
Lionizing .
Narrative of A. Gordon Pym
Preface to the Poems
The Poetic Principle .
The Rationale of Verse .
[Raven](https://openlibrary.org/works/OL41081W)
Lenore
Hymn .
A Valentine .
The Coliseum
To Helen .
Ulalume
The Bells
An Enigma
[Annabel Lee](https://openlibrary.org/works/OL273456W)
To My Mother .
The Haunted Palace
The Conqueror Worm .
To S. 0—1)
To One in Paradise .
The Valley of Unrest
The City in the Sea .
The Sleeper
Silence
A Dream Within a Pream
Dream-Land .
To Zante .
Eulalie
Eldorado
Israfel .
For Annie
To
Bridal Ballad .
To F—
Scenes from ""Politian""
POEMS WRITTEN IN YOUTH
Sonnet—To Science .
A1 Aaraaf .
To the River —
Tamerlane
To
A Dream .
Romance .
Fairy-Land
The Lake-.ro —
Song
To M.L.S.
Spirits of the Dead
To Helen .
Evening Star .
The Happiest Day
Imitation .
Hymn to Aristogeiton and Harmodius. Greek
Dreams
In Youth I Have Known One
A Paean .
To Isadore
Alone"
513,
514,"The Adventures of Sherlock Holmes is a collection of twelve short stories by Arthur Conan Doyle, first published on 14 October 1892. It contains the earliest short stories featuring the consulting detective Sherlock Holmes, which had been published in twelve monthly issues of The Strand Magazine from July 1891 to June 1892. The stories are collected in the same sequence, which is not supported by any fictional chronology. The only characters common to all twelve are Holmes and Dr. Watson and all are related in first-person narrative from Watson's point of view.


Contains:
[Scandal in Bohemia](https://openlibrary.org/works/OL14930611W/A_Scandal_in_Bohemia)
[Red-headed League](https://openlibrary.org/works/OL14930336W/The_Red-Headed_League)
[Case of Identity](https://openlibrary.org/works/OL14929939W/A_Case_of_Identity)
[Boscombe Valley Mystery](https://openlibrary.org/works/OL18495288W/The_Boscombe_Valley_Mystery)
[Five Orange Pips](https://openlibrary.org/works/OL1518120W/Five_Orange_Pips)
[Man with the Twisted Lip](https://openlibrary.org/works/OL14930258W/The_Man_With_the_Twisted_Lip)
[Adventure of the Blue Carbuncle](https://openlibrary.org/works/OL1518317W/Adventure_of_the_Blue_Carbuncle)
[Adventure of the Speckled Band](https://openlibrary.org/works/OL262561W/Adventure_of_the_Speckled_Band)
[Adventure of the Engineer's Thumb](https://openlibrary.org/works/OL1518318W/Adventure_of_the_Engineer's_Thumb)
[Adventure of the Noble Bachelor](https://openlibrary.org/works/OL14929841W/Adventure_of_the_Noble_Bachelor)
[Adventure of the Beryl Coronet](https://openlibrary.org/works/OL14929825W/Adventure_of_the_Beryl_Coronet)
[Adventure of the Copper Beeches](https://openlibrary.org/works/OL1518116W/Adventure_of_the_Copper_Beeches)


----------
Also contained in:

 - [Adventures and Memoirs of Sherlock Holmes](https://openlibrary.org/works/OL1518128W)
 - [Adventures of Sherlock Holmes](https://openlibrary.org/works/OL20624138W)
 - [Celebrated Cases of Sherlock Holmes](https://openlibrary.org/works/OL16076930W)
 - [Complete Sherlock Holmes](https://openlibrary.org/works/OL18188824W)
 - [Complete Sherlock Holmes: Volume I](https://openlibrary.org/works/OL14929975W)
 - [Illustrated Sherlock Holmes](https://openlibrary.org/works/OL1518342W)
 - [Obras completas de Conan Doyle: II](https://openlibrary.org/works/OL20787319W)
 - [Original Illustrated Sherlock Holmes](https://openlibrary.org/works/OL262528W)
 - [Original Illustrated 'Strand' Sherlock Holmes](https://openlibrary.org/works/OL262529W)
 - [Short Stories](https://openlibrary.org/works/OL18188661W)
 - [Works](https://openlibrary.org/works/OL16173818W)
 - [Works](https://openlibrary.org/works/OL14930383W)"
515,"PAT CONROY has created a huge, brash thunderstorm of a novel, stinging with honesty and resounding with drama. Spanning forty years, this is the story of turbulent Tom Wingo, his gifted and troubled twin sister Savannah, and their struggle to triumph over the dark and tragic legacy of the extraordinary family into which they were born.

Filled with the vanishing beauty of the South Carolina low country as well as the dusty glitter of New York City, The Prince of Tides is PAT CONROY at his very best."
516,"The novel begins in 1939 with the arrival of 19-year-old Josef ""Joe"" Kavalier as a refugee in New York City, where he comes to live with his 17-year-old cousin Sammy Klayman. Joe escaped from Prague with the help of his teacher Kornblum by hiding in a coffin along with the inanimate Golem of Prague, leaving the rest of his family, including his younger brother Thomas, behind. Besides having a shared interest in drawing, Sammy and Joe share several connections to Jewish stage magician Harry Houdini: Joe (like comics legend Jim Steranko) studied magic and escapology in Prague, which aided him in his departure from Europe, and Sammy is the son of the Mighty Molecule, a strongman on the vaudeville circuit.

When Sammy discovers Joe's artistic talent, Sammy gets Joe a job as an illustrator for a novelty products company, which, due to the recent success of Superman, is attempting to get into the comic-book business. Under the name ""Sam Clay"", Sammy starts writing adventure stories with Joe illustrating them, and the two recruit several other Brooklyn teenagers to produce Amazing Midget Radio Comics (named to promote one of the company's novelty items). The pair is at once passionate about their creation, optimistic about making money, and always nervous about the opinion of their employers. The magazine features Sammy and Joe's character the Escapist, an anti-fascist superhero who combines traits of (among others) Captain America, Harry Houdini, Batman, the Phantom, and the Scarlet Pimpernel. The Escapist becomes tremendously popular, but like talent behind Superman, the writers and artists of the comic get a minimal share of their publisher's revenue. Sammy and Joe are slow to realize that they are being exploited, as they have private concerns: Joe is trying to help his family escape from Nazi-occupied Prague, and has fallen in love with the bohemian Rosa Saks, who has her own artistic aspirations, while Clay is battling with his sexual identity and the lackluster progress of his literary career.

For many months after coming to New York, Joe is driven almost solely by an intense desire to improve the condition of his family, still living under a regime increasingly hostile to their kind. This drive shows through in his work, which remains for a long time unabashedly anti-Nazi despite his employer's concerns. In the meantime, he is spending more and more time with Rosa, appearing as a magician in the bar mitzvahs of the children of Rosa's father's acquaintances, even though he sometimes feels guilty at indulging in these distractions from the primary task of fighting for his family. After multiple attempts and considerable monetary sacrifice, Joe ultimately fails to get his family to the States, his last attempt having resulted in putting his younger brother aboard a ship that sank into the Atlantic. Distraught and unaware that Rosa is pregnant with his child, Joe enlists in the navy, hoping to fight the Germans. Instead, he is sent to a lonely, cold naval base in Antarctica, from which he emerges the lone survivor after a series of deaths. When he makes it back to New York, ashamed to show his face again to Rosa and Sammy, he lives and sleeps in a hideout in the Empire State Building, known only to a small circle of magician-friends.

Meanwhile, Sam battles with his sexuality, shown mostly through his relationship with the radio voice of The Escapist, Tracy Bacon. Bacon's movie-star good-looks initially intimidate Clay, but they later fall in love. When Tracy is cast as The Escapist in the film version, he invites Clay to move to Hollywood with him, an offer that Clay accepts. But later, when Bacon and Clay go to a friend's beach house with several other gay men and couples, the company's private dinner is broken up by the local police as well as two off-duty FBI agents. All of the men are arrested, except for two who hid under the dinner table, one of whom is Clay. The FBI agents each claim one of the men and grant them their freedom in return for sexual favors. After this episode, Clay decides that he can't live with the constant threat of being arrested, ridiculed, and judged because of his sexuality. He does not go with Bacon to the West Coast. Some time after Joe leaves, Sammy marries Rosa and moves with her to the suburbs, where they raise her son Tommy in what outwardly appears to be a typical traditional nuclear family.

Sammy and Rosa cannot hide all their secrets from Tommy, however, who manages to take private magic lessons in the Empire State Building from Joe for the better part of year without anyone else's knowledge. Tommy is instrumental in finally reuniting the Kavalier and Clay duo, which works with renewed enthusiasm to find a new creative direction for comics. Joe moves into Sammy and Rosa's house. Shortly afterwards, Sammy's homosexuality is revealed on public television. This further complicates the attempts of Rosa, Sammy, and Joe to reconstitute a family.

Many events in the novel are based on the lives of actual comic-book creators including Jack Kirby (to whom the book is dedicated in the afterword), Stan Lee, Jerry Siegel, Joe Shuster, Joe Simon, Will Eisner, and Jim Steranko. Other historical figures play minor roles, including Salvador Dalí, Al Smith, Orson Welles, and Fredric Wertham. The novel's time span roughly mirrors that of the Golden Age of Comics itself, starting from shortly after the debut of Superman and concluding with the Kefauver Senate hearings, two events often used to demarcate the era."
517,"When wealthy, seemingly perfect Brittany and Alex Fuentes, a gang member from the other side of town, develop a relationship after Alex discovers that Brittany is not exactly who she seems to be, they must face the disapproval of their schoolmates--and others."
518,"J. M. Barrie’s classic children's story is reimagined in this delightful full-color deluxe edition filled with all-new illustrations and ten removable features specially designed by MinaLima, the award-winning design studio behind the graphics for the Harry Potter films.

For more than a century, the adventures of Peter Pan—the boy who can fly and never grows up—and Wendy Darling have captured the hearts of generations of readers. In this enchanting illustrated volume, the fantastical world of Neverland and its magical inhabitants, including the Lost Boys, Captain Hook, Tiger Lily, and the beloved Tinker Bell, are brought to life like never before.

Peter Pan is packed with a lush array of colorful illustrations and interactive removable features, including a detailed map of Neverland, a croc o’clock with hands you can rotate to tell time, Peter’s shadow, and more. Beautiful and captivating, filled with breathtaking artwork, this stunning book is sure to become a treasured keepsake for fans of all ages."
519,"Finally surgically transformed into a ""pretty,"" sixteen-year-old Tally, now gorgeous and programmed to think only happy thoughts, is plagued by tangled memories of living in the Smoke, a rebel colony of ""ugly"" runaways hiding from the Special Circumstances authorities."
520,
